"","subplot_id","disturbance_severity","treatment","name","mean2018","mean2020"
"120","B02W","45","B","vai_mean",NA,6.68
"121","B03E","85","B","mean_height_mean",7.86,7.4
"122","B03E","85","B","moch",14.21,15.76
"123","B03E","85","B","max_ht",26.63,27.31
"124","B03E","85","B","p10",1.63,1.48
"125","B03E","85","B","p25",2.27,1.94
"126","B03E","85","B","p50",3.38,2.95
"127","B03E","85","B","p75",6.25,6.95
"128","B03E","85","B","p90",14.64,16.05
"129","B03E","85","B","cover_fraction",97.89,93.31
"130","B03E","85","B","vai_mean",7.14,6.07
"131","B03W","85","T","mean_height_mean",9.7,7.85
"132","B03W","85","T","moch",16.33,19.49
"133","B03W","85","T","max_ht",29.84,30.46
"134","B03W","85","T","p10",1.59,1.44
"135","B03W","85","T","p25",1.95,1.81
"136","B03W","85","T","p50",3.22,2.66
"137","B03W","85","T","p75",10.52,6.42
"138","B03W","85","T","p90",16.15,15.1
"139","B03W","85","T","cover_fraction",98.4,97.38
"140","B03W","85","T","vai_mean",6.93,6.81
"141","B04E","65","T","mean_height_mean",9.83,9.42
"142","B04E","65","T","moch",15.71,18.26
"143","B04E","65","T","max_ht",27.41,28.38
"144","B04E","65","T","p10",2.26,2.05
"145","B04E","65","T","p25",3.2,3.01
"146","B04E","65","T","p50",4.9,5.02
"147","B04E","65","T","p75",9.81,9.45
"148","B04E","65","T","p90",12.41,12.43
"149","B04E","65","T","cover_fraction",98.47,96.46
"150","B04E","65","T","vai_mean",7.43,6.98
"151","B04W","65","B","mean_height_mean",9.6,8.63
"152","B04W","65","B","moch",14.67,15.21
"153","B04W","65","B","max_ht",26.95,27.39
"154","B04W","65","B","p10",1.72,1.69
"155","B04W","65","B","p25",2.71,2.69
"156","B04W","65","B","p50",4.75,4.41
"157","B04W","65","B","p75",8.76,7.58
"158","B04W","65","B","p90",13.04,12.29
"159","B04W","65","B","cover_fraction",98.45,99.02
"160","B04W","65","B","vai_mean",7.51,7.54
"161","C01E","0","T","mean_height_mean",10.58,10.13
"162","C01E","0","T","moch",14.34,13.6
"163","C01E","0","T","max_ht",22.13,22.11
"164","C01E","0","T","p10",2.83,2.29
"165","C01E","0","T","p25",4.9,3.25
"166","C01E","0","T","p50",7.08,5.83
"167","C01E","0","T","p75",10.82,10.49
"168","C01E","0","T","p90",14.2,13.55
"169","C01E","0","T","cover_fraction",92.16,90.22
"170","C01E","0","T","vai_mean",6.63,6.8
"171","C01W","0","B","mean_height_mean",10,9.49
"172","C01W","0","B","moch",13.41,12.65
"173","C01W","0","B","max_ht",19.98,20.96
"174","C01W","0","B","p10",2.37,1.98
"175","C01W","0","B","p25",3.46,2.79
"176","C01W","0","B","p50",6.73,5.51
"177","C01W","0","B","p75",10.98,10.23
"178","C01W","0","B","p90",13.67,13.41
"179","C01W","0","B","cover_fraction",94.78,83.46
"180","C01W","0","B","vai_mean",6.77,5.93
"181","C02E","65","B","mean_height_mean",9.28,10.28
"182","C02E","65","B","moch",12.82,19.94
"183","C02E","65","B","max_ht",19.45,25.01
"184","C02E","65","B","p10",1.96,1.85
"185","C02E","65","B","p25",3.04,2.56
"186","C02E","65","B","p50",4.9,5.19
"187","C02E","65","B","p75",9.53,9.31
"188","C02E","65","B","p90",12.72,19.98
"189","C02E","65","B","cover_fraction",86.65,84.59
"190","C02E","65","B","vai_mean",6.16,5.72
"191","C02W","65","T","mean_height_mean",11.62,12.51
"192","C02W","65","T","moch",16.47,19.88
"193","C02W","65","T","max_ht",24.98,27.77
"194","C02W","65","T","p10",2.62,2.25
"195","C02W","65","T","p25",4.32,4.23
"196","C02W","65","T","p50",7.04,7.98
"197","C02W","65","T","p75",11.71,13.06
"198","C02W","65","T","p90",16.96,22.41
"199","C02W","65","T","cover_fraction",94.56,83.73
"200","C02W","65","T","vai_mean",6.94,5.54
"201","C03E","85","B","mean_height_mean",10.34,8.32
"202","C03E","85","B","moch",16.64,13.93
"203","C03E","85","B","max_ht",26.41,22.45
"204","C03E","85","B","p10",2.01,1.67
"205","C03E","85","B","p25",2.91,2.14
"206","C03E","85","B","p50",7.38,3.43
"207","C03E","85","B","p75",11.83,7.88
"208","C03E","85","B","p90",16.8,15.79
"209","C03E","85","B","cover_fraction",93.36,78.85
"210","C03E","85","B","vai_mean",6.65,5.24
"211","C03W","85","T","mean_height_mean",12.98,8.52
"212","C03W","85","T","moch",19.43,15.2
"213","C03W","85","T","max_ht",28.26,24.71
"214","C03W","85","T","p10",2.1,1.95
"215","C03W","85","T","p25",4.46,2.75
"216","C03W","85","T","p50",7.58,4.14
"217","C03W","85","T","p75",12.98,8.1
"218","C03W","85","T","p90",22.97,12.15
"219","C03W","85","T","cover_fraction",89.31,89.48
"220","C03W","85","T","vai_mean",5.98,6.27
"221","C04E","45","T","mean_height_mean",8.67,8.15
"222","C04E","45","T","moch",14.72,13.2
"223","C04E","45","T","max_ht",21.72,22.51
"224","C04E","45","T","p10",1.77,1.97
"225","C04E","45","T","p25",2.39,2.8
"226","C04E","45","T","p50",3.42,5.03
"227","C04E","45","T","p75",7.43,9.54
"228","C04E","45","T","p90",13,12.4
"229","C04E","45","T","cover_fraction",94.45,79.77
"230","C04E","45","T","vai_mean",6.94,5.5
"231","C04W","45","B","mean_height_mean",9.29,11.46
"232","C04W","45","B","moch",14.43,16.69
"233","C04W","45","B","max_ht",24.35,21.08
"234","C04W","45","B","p10",1.94,2.29
"235","C04W","45","B","p25",2.65,3.7
"236","C04W","45","B","p50",4.31,6.67
"237","C04W","45","B","p75",7.64,12.8
"238","C04W","45","B","p90",11,17.25
"239","C04W","45","B","cover_fraction",96.78,89.71
"240","C04W","45","B","vai_mean",7.28,6.24
"241","D01E","0","B","mean_height_mean",9.32,10.44
"242","D01E","0","B","moch",12.27,13.94
"243","D01E","0","B","max_ht",17.88,18.58
"244","D01E","0","B","p10",2.54,2.72
"245","D01E","0","B","p25",3.84,4.78
"246","D01E","0","B","p50",6.15,7.08
"247","D01E","0","B","p75",9.53,10.01
"248","D01E","0","B","p90",12.5,12.84
"249","D01E","0","B","cover_fraction",88.32,89.7
"250","D01E","0","B","vai_mean",6.11,6.4
"251","D01W","0","T","mean_height_mean",8.43,10.17
"252","D01W","0","T","moch",12.91,14.01
"253","D01W","0","T","max_ht",21.3,19.89
"254","D01W","0","T","p10",1.84,2.49
"255","D01W","0","T","p25",2.58,3.53
"256","D01W","0","T","p50",4.64,8.42
"257","D01W","0","T","p75",8.96,12.62
"258","D01W","0","T","p90",14.61,16.84
"259","D01W","0","T","cover_fraction",81.64,69.83
"260","D01W","0","T","vai_mean",6.02,4.89
"261","D02E","85","B","mean_height_mean",8.69,9.78
